Pilot,Tail Number,Derived Origin,Start Latitude,Start Longitude,Derived Destination,End Latitude,End Longitude,Start Time,End Time,Total Duration,Total Distance,Initial Attitude Source,Device Model,Device Model Detailed,iOS Version,Battery Level,Battery State,GPS Source,Maximum Vertical Error,Minimum Vertical Error,Average Vertical Error,Maximum Horizontal Error,Minimum Horizontal Error,Average Horizontal Error,Imported From,Route Waypoints
"","N55716","3B0",42.10062789916992,-72.03739929199219,"3B0",42.09976577758789,-72.03783416748047,1740243263100,1740246647678,3384.5787472724915,65.5259507195224,"None","iPad","iPad14,1","18.1.1",0.95,"Sentry",5.665999889373779,1.2660000324249268,2.51609507882701,6.333000183105469,1.2000000476837158,1.8658101287630289,"iOS","42.18�N/71.89�W 3B0"
Timestamp,Latitude,Longitude,Altitude,Course,Speed,Bank,Pitch,Horizontal Error,Vertical Error
1.7402432631001148E9,42.10062789916992,-72.03739929199219,668.3070766018437,-1.0,0.0,-0.16718626022338867,0.4698638916015625,1.9329999685287476,3.0
1.740243265098455E9,42.10062789916992,-72.03740692138672,671.9160205110157,-1.0,0.0,-0.17493867874145508,0.47808837890625,1.899999976158142,2.9660000801086426
1.7402432660999022E9,42.10062789916992,-72.03739929199219,672.2440744635308,-1.0,0.0,-0.19767236709594727,0.44702911376953125,1.899999976158142,2.9660000801086426
1.7402432670997062E9,42.10063171386719,-72.03739929199219,672.9002824918484,-1.0,0.0,-0.19142818450927734,0.4828948974609375,1.899999976158142,2.9660000801086426
1.740243268101142E9,42.10063171386719,-72.03740692138672,674.2125984251961,-1.0,0.0,-0.21920156478881836,0.44503021240234375,1.899999976158142,2.9660000801086426
1.740243270099453E9,42.10062789916992,-72.03740692138672,675.1968604060288,-1.0,0.0,-0.22164344787597656,0.4300079345703125,1.899999976158142,2.9660000801086426
1.7402432711010861E9,42.10062789916992,-72.03740692138672,674.86875639187,-1.0,0.0,-0.2146897315979004,0.4846649169921875,1.899999976158142,2.9660000801086426
1.740243273099865E9,42.10062789916992,-72.03740692138672,674.540702439355,-1.0,0.0,-0.22378969192504883,0.4556121826171875,1.8660000562667847,2.9000000953674316
1.740243274099636E9,42.10062789916992,-72.03740692138672,673.5564404585223,-1.0,0.0,-0.23097991943359375,0.4507598876953125,1.8660000562667847,2.9000000953674316
1.740243275098288E9,42.10062789916992,-72.03740692138672,672.5721784776896,-1.0,0.0,-0.2236347198486328,0.4364471435546875,1.8660000562667847,2.9000000953674316
1.740243276099391E9,42.10062789916992,-72.03740692138672,672.5721784776896,-1.0,0.0,-0.22825098037719727,0.4492950439453125,1.8660000562667847,2.9000000953674316
1.740243277099962E9,42.100624084472656,-72.03740692138672,671.9160205110157,-1.0,0.0,-0.20035409927368164,0.42394256591796875,1.8660000562667847,2.9000000953674316
1.740243278099735E9,42.100624084472656,-72.03740692138672,671.9160205110157,-1.0,0.0,-0.19299983978271484,0.481201171875,1.8660000562667847,2.933000087738037
1.740243279106477E9,42.100624084472656,-72.03740692138672,670.9317585301831,-1.0,0.0,-0.20946788787841797,0.41953277587890625,1.899999976158142,2.933000087738037
1.740243281100127E9,42.10062026977539,-72.03740692138672,670.6036545160241,-1.0,0.0,-0.20119953155517578,0.446136474609375,1.9329999685287476,3.0
1.7402432821000319E9,42.10062026977539,-72.03740692138672,670.2756005635092,-1.0,0.0,-0.2134861946105957,0.48024749755859375,1.965999960899353,3.0329999923706055
1.740243283100937E9,42.10062026977539,-72.03740692138672,668.6351806160026,-1.0,0.0,-0.2057175636291504,0.46125030517578125,1.965999960899353,3.065999984741211
1.740243284100564E9,42.10062026977539,-72.03740692138672,667.322814621011,-1.0,0.0,-0.2095794677734375,0.5256195068359375,1.965999960899353,3.065999984741211
1.740243285100842E9,42.10062026977539,-72.03739929199219,666.3386027018222,-1.0,0.0,-0.22478771209716797,0.47299957275390625,1.965999960899353,3.065999984741211
1.74024328610098E9,42.10062026977539,-72.03739929199219,665.6823946735045,-1.0,0.0,-0.21677064895629883,0.5392837524414062,1.965999960899353,3.0999999046325684
1.740243287101116E9,42.10062026977539,-72.03739929199219,664.0419747259979,-1.0,0.0,-0.22277069091796875,0.53448486328125,1.965999960899353,3.0999999046325684
1.740243288100723E9,42.10062026977539,-72.03739929199219,662.4015547784913,-1.0,0.0,-0.21256494522094727,0.5497360229492188,2.0,3.0999999046325684
1.74024328910062E9,42.100624084472656,-72.03739929199219,661.4173428593025,-1.0,0.0,-0.21927261352539062,0.517181396484375,2.0,3.0999999046325684
1.740243290102062E9,42.100624084472656,-72.03739929199219,659.1207148834782,-1.0,0.0,-0.1963496208190918,0.598968505859375,2.0,3.065999984741211
1.740243291101822E9,42.100624084472656,-72.03739929199219,658.1365029642894,-1.0,0.0,-0.20700788497924805,0.601409912109375,1.965999960899353,3.065999984741211
1.7402432931020288E9,42.100624084472656,-72.03739166259766,655.5118210359501,-1.0,0.0,-0.1911325454711914,0.5713424682617188,1.9329999685287476,3.0
1.740243295102439E9,42.10062789916992,-72.03739166259766,655.5118210359501,-1.0,0.0,-0.19452619552612305,0.5999603271484375,1.899999976158142,2.9660000801086426
1.740243296102333E9,42.10062789916992,-72.03739929199219,656.167979002624,-1.0,0.0,-0.19076824188232422,0.5740737915039062,1.8660000562667847,2.933000087738037
1.740243297102977E9,42.10062789916992,-72.03739929199219,656.167979002624,-1.0,0.0,-0.18561172485351562,0.5403671264648438,1.8660000562667847,2.9000000953674316
1.740243298103339E9,42.10062789916992,-72.03739929199219,656.4960830167829,-1.0,0.0,-0.22562885284423828,0.563018798828125,1.8660000562667847,2.9000000953674316
